index,raw,preprocessed,cleaned,artifact,rpeak
0,0.00497825589379719,0.0004938055647633691,0.0002697969154293405,0.00022400864933402864,0
1,0.0087167162584878,0.0033672518113071867,0.0032103023071487343,0.00015694950415845238,0
2,0.003147173266193626,-0.00012955816625725164,-0.00042316037337996844,0.0002936022071227168,0
3,-0.0015068284122987663,-0.0029785228495346895,-0.0031044607895395013,0.00012593794000481185,0
4,-0.002040894178683139,-0.0030561288155158553,-0.0033114529810182826,0.0002553241655024272,0
5,0.00017166399633783413,-0.0013302367272691902,-0.0017170631388935481,0.0003868264116243579,0
6,0.0027656977187762166,0.0006130830136327421,0.00036557737761506884,0.0002475056360176733,0
7,0.003528648813611035,0.001303724640940016,0.0014898577996538811,-0.00018613315871386519,0
8,-0.0006675822079804661,-0.0014247082235422268,-0.0009785519781895244,-0.0004461562453527024,0
9,-0.0006675822079804661,-0.0012725769124018573,-0.0011794171698076247,-9.315974259423263e-05,0
10,-0.0031853208209353667,-0.0029445829654785828,-0.0029491296197164812,4.546654237898469e-06,0
11,0.0010109102006561344,-4.209171027052407e-05,-0.0002397168500711734,0.00019762513980064932,0
12,0.005207141222247635,0.0028489358532308917,0.002783013361588922,6.59224916419697e-05,0
13,0.0037575341420614805,0.001891312565681628,0.0016222725710130156,0.00026903999466861245,0
14,0.004062714579995408,0.002231128915670602,0.002176383944807517,5.474497086308504e-05,0
15,0.002613107499809253,0.0014195566479775542,0.0011439672024464583,0.00027558944553109587,0
16,-0.002040894178683139,-0.0015969800279708258,-0.0015072507015499634,-8.972932642086233e-05,0
17,-0.005321583886472858,-0.00373909582884829,-0.0035997821628027827,-0.00013931366604550723,0
18,-0.005321583886472858,-0.0037604221259479784,-0.0034054669609421134,-0.000354955165005865,0
19,-0.004863813229571967,-0.0036379308643413946,-0.002866145138679595,-0.0007717857256617994,0
20,0.0028419928282596985,0.0014008449925749032,0.002344419390226649,-0.0009435743976517459,0
21,0.005283436331731117,0.0028054846086407333,0.0031754062807162805,-0.0003699216720755472,0
22,0.0056649118791485265,0.002890538658113139,0.0031085236674912634,-0.00021798500937812455,0
23,0.002536812390325771,0.0006495393856160263,0.0005298004895780395,0.00011973889603798674,0
24,-0.0019645990691996573,-0.0025107888275068655,-0.0029214246254782193,0.00041063579797135383,0
25,-0.0007438773174639479,-0.0017470152873573167,-0.0023909256789286077,0.0006439103915712909,0
26,0.002536812390325771,0.00040819103453391037,0.0002730698024390188,0.00013512123209489157,0
27,0.0018501564049744346,-0.00017741448036907373,0.0005791021805505436,-0.0007565166609196173,0
28,0.0022316319523918438,2.957218933694339e-06,0.0008783725242046471,-0.0008754153052709528,0
29,0.0004768444342717615,-0.0012896807933300098,-0.00036811171797768833,-0.0009215690753523215,0
30,-0.0018883039597161755,-0.0030408900723528465,-0.002172352195231735,-0.0008685378771211114,0
31,0.0006294346532387252,-0.001473676480255151,-0.0017292446131762043,0.00025556813292105336,0
32,0.0013160906385900617,-0.0012277207155570998,-0.0014421157555246822,0.00021439503996758245,0
33,0.006961928740367718,0.002470769238803002,0.0025321737352992446,-6.14044964962427e-05,0
34,0.005893797207598972,0.0015976692991558716,0.001900831114032065,-0.00030316181487619336,0
35,0.0056649118791485265,0.001414834247852003,0.0016191183611001028,-0.0002042841132480998,0
36,0.0004768444342717615,-0.002148002587785503,-0.0022796739426291244,0.00013167135484362137,0
37,0.0033760585946440713,-9.126286081148911e-05,-0.00027781073280901293,0.00018654787199752382,0
38,0.004367895017929335,0.000669874117577248,0.00034614023765877584,0.0003237338799184721,0
39,0.005130846112764154,0.0013507238316785948,0.001756500939928047,-0.00040577710824945233,0
